Current_Word,Next_Word,Levenshtein_Distance
keystrokes,microsoft,9
microsoft,said,8
said,statement,7
statement,investigating,10
investigating,called,12
called,criminal,7
criminal,attack,8
attack,software,6
software,earlier,7
earlier,week,6
week,microsoft,9
microsoft,said,8
said,would,4
would,buy,4
buy,anti,4
anti,virus,5
virus,software,8
software,maker,7
maker,sybari,5
sybari,software,5
software,improve,7
improve,security,7
security,windows,8
windows,e,7
e,mail,4
mail,software,7
software,microsoft,9
microsoft,said,8
said,plans,4
plans,offer,5
offer,paid,5
paid,anti,4
anti,virus,5
virus,software,8
software,yet,7
yet,set,1
set,date,3
date,release,5
release,anti,7
anti,spyware,7
spyware,program,6
program,targeted,7
targeted,currently,6
currently,beta,7
beta,form,4
form,aims,4
aims,help,4
help,users,4
users,find,5
find,remove,6
remove,spyware,6
spyware,programs,7
programs,monitor,7
monitor,internet,7
internet,use,7
use,causes,3
causes,advert,5
advert,pop,6
pop,ups,3
ups,slow,4
slow,pc,4
pc,performance,9
performance,,11
wi,fi,1
fi,web,3
web,reaches,6
reaches,farmers,5
farmers,peru,5
peru,network,5
network,community,9
community,computer,5
computer,centres,6
centres,linked,5
linked,wireless,6
wireless,technology,9
technology,providing,9
providing,helping,6
helping,hand,5
hand,poor,4
poor,farmers,6
farmers,peru,5
peru,pilot,4
pilot,scheme,6
scheme,huaral,6
huaral,valley,6
valley,kilometres,6
kilometres,north,8
north,capital,6
capital,lima,5
lima,aims,2
aims,offer,5
offer,strong,5
strong,community,8
community,date,8
date,information,9
information,agricultural,11
agricultural,market,10
market,prices,5
prices,trends,4
trends,agricultural,11
agricultural,information,11
information,project,9
project,farmers,6
farmers,chancay,7
chancay,huaral,5
huaral,valley,6
valley,also,4
also,provides,8
provides,vital,6
vital,links,4
links,local,4
local,organisations,12
organisations,charge,12
charge,water,5
water,irrigation,8
irrigation,enabling,9
enabling,coordinate,8
coordinate,actions,9
actions,rural,7
rural,inhabitants,10
inhabitants,well,11
well,18,4
18,0,3
0,students,8
students,region,7
region,also,5
also,benefit,7
benefit,telecoms,6
telecoms,infrastructure,13
infrastructure,14,14
14,telecentres,11
telecentres,uses,9
uses,free,3
free,open,3
open,source,5
source,software,5
software,affordable,7
affordable,computer,9
computer,equipment,8
equipment,network,9
network,three,6
three,years,5
years,making,6
making,officially,9
officially,inaugurated,10
inaugurated,september,10
september,non,9
non,government,8
government,organisation,10
organisation,cepes,11
cepes,peruvian,7
peruvian,centre,7
centre,social,6
social,studies,5
studies,led,6
led,200,3
200,0,1
0,project,7
project,also,7
also,backed,5
backed,local,5
local,institutions,12
institutions,education,8
education,agriculture,9
agriculture,ministries,9
ministries,european,10
european,development,7
development,organisations,12
organisations,plan,11
plan,includes,7
includes,training,8
training,computers,9
computers,internet,8
internet,skills,8
skills,operators,8
operators,users,6
users,system,5
system,said,5
said,carlos,5
carlos,saldarriaga,9
saldarriaga,technical,10
technical,coordinator,9
coordinator,cepes,10
cepes,farmers,5
farmers,also,6
also,taking,5
taking,extra,6
extra,lessons,6
lessons,apply,7
apply,new,5
new,information,10
information,make,9
make,plots,5
plots,land,4
land,board,3
board,irrigation,9
irrigation,users,10
users,runs,4
runs,computer,7
computer,centres,6
centres,aims,6
aims,make,4
make,network,7
network,self,6
self,sustainable,9
sustainable,within,8
within,three,5
three,years,5
years,cash,4
cash,generated,8
generated,using,9
using,telecentres,10
telecentres,internet,8
internet,cafes,7
cafes,one,4
one,key,3
key,elements,7
elements,project,6
project,agricultural,10
agricultural,information,11
information,system,10
system,flagship,7
flagship,huaral,7
huaral,org,5
org,website,7
website,farmers,7
farmers,find,6
find,prices,5
prices,local,5
local,produce,6
produce,well,7
well,information,11
information,topics,9
topics,ranging,6
ranging,plague,6
plague,prevention,9
prevention,latest,8
latest,farming,6
farming,techniques,9
techniques,system,9
system,also,5
also,helps,4
helps,inhabitants,9
inhabitants,chancay,8
chancay,huaral,5
huaral,valley,6
valley,organise,7
organise,vital,7
vital,irrigation,8
irrigation,systems,9
systems,water,5
water,main,4
main,element,6
element,unites,6
unites,precious,6
precious,element,7
element,peru,6
peru,coastal,7
coastal,areas,5
areas,scarce,5
scarce,therefore,7
therefore,necessary,7
necessary,proper,8
proper,irrigation,9
irrigation,systems,9
systems,make,6
make,mr,3
mr,saldarriaga,10
saldarriaga,told,9
told,bbc,4
bbc,news,4
news,website,5
website,information,10
information,network,9
network,also,6
also,allows,3
allows,farmers,5
farmers,look,7
look,beyond,5
beyond,region,4
region,share,6
share,experiences,9
experiences,colleagues,9
colleagues,rest,9
rest,peru,3
peru,even,4
even,around,5
around,world,4
world,cepes,5
cepes,says,4
says,involvement,11
involvement,farmers,9
farmers,key,6
key,project,6
project,success,6
success,throughout,9
throughout,last,9
last,three,5
three,years,5
years,people,5
people,provided,5
provided,vital,6
vital,thrust,6
thrust,project,6
project,feel,6
feel,belongs,6
belongs,said,7
said,mr,4
mr,saldarriaga,10
saldarriaga,community,10
community,training,7
training,sessions,7
sessions,attended,8
attended,equal,7
equal,number,6
number,men,4
men,women,2
women,perfect,6
perfect,showcase,8
showcase,enthusiasm,7
enthusiasm,excellent,9
excellent,response,8
response,mainly,7
mainly,young,5
young,people,5
people,also,6
also,great,5
great,feedback,6
feedback,trained,8
trained,40,7
40,50,1
50,year,4
year,old,4
old,women,4
women,seeing,5
seeing,computer,8
computer,first,7
first,time,4
time,lives,3
lives,far,5
far,huaral,4
huaral,programme,7
programme,promoters,6
promoters,say,9
say,experience,10
experience,positive,7
positive,already,8
already,planning,7
planning,spreading,5
spreading,model,8
model,among,4
among,farmers,5
farmers,organisations,11
organisations,peru,13
peru,pilot,4
pilot,project,5
project,keen,6
keen,cloning,6
cloning,potential,7
potential,places,8
places,underlined,8
underlined,mr,9
mr,saldarriaga,10
saldarriaga,cepes,11
cepes,researcher,8
researcher,recalls,7
recalls,happened,8
happened,cuyo,8
cuyo,50,4
50,family,6
family,community,6
community,electricity,8
electricity,construction,8
construction,local,10
local,telecentre,8
telecentre,site,8
site,necessary,8
necessary,build,9
build,mini,4
mini,hydraulic,8
hydraulic,dam,7
dam,order,4
order,generate,6
generate,2kw,8
2kw,worth,5
worth,power,4
power,computers,6
computers,communications,8
communications,equipment,11
equipment,cabin,7
cabin,lights,6
lights,already,6
already,dark,6
dark,technicians,10
technicians,realised,9
realised,didn,7
didn,light,4
light,bulbs,5
bulbs,test,5
test,generator,7
generator,turned,8
turned,local,6
local,store,5
store,buy,5
buy,light,5
light,bulbs,5
bulbs,recalls,5
recalls,carlos,4
carlos,saldarriaga,9
saldarriaga,logical,9
logical,answer,7
answer,sell,5
sell,wait,4
wait,next,3
next,morning,6
morning,testing,4
testing,wireless,8
wireless,network,8
network,cuyo,6
cuyo,well,4
well,communities,11
communities,longer,8
longer,isolated,6
isolated,,8
virus,poses,4
poses,christmas,7
christmas,e,9
e,mail,4
mail,security,7
security,firms,7
firms,warning,6
warning,windows,6
windows,virus,5
virus,disguising,7
disguising,electronic,10
electronic,christmas,10
christmas,card,7
card,zafi,3
zafi,d,4
d,virus,5
virus,translates,9
translates,christmas,8
christmas,greeting,7
greeting,subject,8
subject,line,6
line,language,5
language,person,8
person,receiving,7
receiving,infected,8
infected,e,7
e,mail,4
mail,anti,4
anti,virus,5
virus,firms,2
firms,speculate,9
speculate,multilingual,11
multilingual,ability,9
ability,helping,6
helping,malicious,7
malicious,program,9
program,spread,5
spread,widely,5
widely,online,6
online,anti,4
anti,virus,5
virus,firm,3
firm,sophos,6
sophos,said,5
said,10,4
10,e,2
e,mail,4
mail,currently,8
currently,net,7
net,infected,5
infected,zafi,7
zafi,virus,5
virus,like,4
like,many,4
many,windows,6
windows,viruses,5
viruses,zafi,7
zafi,d,4
d,plunders,7
plunders,microsoft,9
microsoft,outlook,7
outlook,e,7
e,mail,4
mail,addresses,9
addresses,uses,6
uses,mail,4
mail,sending,6
sending,software,7
software,despatch,8
despatch,across,8
across,web,6
web,new,2
new,victims,7
victims,infected,7
infected,users,7
users,must,4
must,open,4
open,attachment,8
attachment,travelling,8
travelling,message,9
message,bears,5
bears,code,5
code,malicious,7
malicious,bug,8
bug,attachment,10
attachment,e,9
e,mail,4
mail,poses,5
poses,electronic,9
electronic,christmas,10
christmas,card,7
card,anyone,6
anyone,opening,6
opening,simply,7
simply,get,6
get,crude,5
crude,image,4
image,two,5
two,smiley,6
smiley,faces,5
faces,virus,4
virus,subject,7
subject,line,6
line,says,4
says,merry,5
merry,christmas,8
christmas,translates,8
translates,one,8
one,15,3
15,languages,9
languages,depending,9
depending,final,8
final,suffix,6
suffix,e,6
e,mail,4
mail,address,7
address,infected,8
infected,message,7
message,sent,6
sent,message,6
message,body,7
body,e,4
e,mail,4
mail,reads,4
reads,happy,5
happy,holidays,6
holidays,translated,9
translated,infected,6
infected,machines,7
machines,virus,6
virus,tries,4
tries,disable,7
disable,anti,6
anti,virus,5
virus,firewall,6
firewall,software,6
software,opens,7
opens,backdoor,8
backdoor,pc,7
pc,hand,4
hand,control,6
control,writer,6
writer,virus,5
virus,virus,0
virus,thought,6
thought,spread,7
spread,widely,5
widely,south,6
south,america,7
america,italy,7
italy,spain,4
spain,bulgaria,6
bulgaria,hungary,4
hungary,original,7
original,zafi,7
zafi,virus,5
virus,appeared,7
appeared,april,5
april,year,5
year,seen,3
seen,hoaxes,5
hoaxes,several,7
several,christmases,10
christmases,already,9
already,personally,7
personally,prefer,8
prefer,traditional,10
traditional,pen,10
pen,paper,3
paper,cards,4
cards,recommend,8
recommend,clients,7
clients,said,6
said,mikko,5
mikko,hypponen,7
hypponen,heads,7
heads,f,5
f,secure,6
secure,anti,6
anti,virus,5
virus,team,5
team,,4
uk,net,3
net,users,4
users,leading,7
leading,tv,7
tv,downloads,9
downloads,british,9
british,tv,6
tv,viewers,7
viewers,lead,6
lead,trend,3
trend,illegally,8
illegally,downloading,10
downloading,us,11
us,shows,4
shows,net,5
net,according,9
according,research,9
research,new,7
new,episodes,7
episodes,24,8
24,desperate,9
desperate,housewives,8
housewives,six,8
six,feet,4
feet,appear,5
appear,web,5
web,hours,5
hours,shown,4
shown,us,5
us,said,4
said,report,6
report,web,5
web,tracking,8
tracking,company,7
company,envisional,9
envisional,said,9
said,18,4
18,downloaders,11
downloaders,within,10
within,uk,6
uk,downloads,9
downloads,tv,9
tv,programmes,10
programmes,increased,8
increased,150,9
150,last,4
last,year,4
year,70,4
70,using,5
using,file,4
file,sharing,6
sharing,program,7
program,bittorrent,8
bittorrent,firm,8
firm,said,4
said,easy,3
easy,download,8
download,pirate,8
pirate,tv,5
tv,show,4
show,programme,8
programme,vcr,8
vcr,said,4
said,ben,4
ben,coppin,5
coppin,envisional,8
envisional,typical,7
typical,episode,6
episode,24,7
24,downloaded,10
downloaded,100,10
100,0,1
0,people,6
people,globally,6
globally,said,7
said,report,6
report,estimated,8
estimated,20,9
20,0,2
0,within,6
within,uk,6
uk,fans,4
fans,many,2
many,popular,7
popular,us,6
us,tv,2
tv,programmes,10
programmes,like,9
like,24,4
24,usually,7
usually,wait,6
wait,weeks,4
weeks,months,5
months,latest,5
latest,series,5
series,shown,5
shown,uk,5
uk,cases,5
cases,said,4
said,report,6
report,people,5
people,able,4
able,watch,4
watch,new,5
new,episodes,7
episodes,britain,7
britain,us,7
us,audiences,7
audiences,west,8
west,coast,3
coast,country,4
country,missing,7
missing,television,8
television,show,8
show,presents,7
presents,little,8
little,problem,5
problem,anyone,6
anyone,basic,6
basic,knowledge,9
knowledge,internet,7
internet,explained,7
explained,mr,9
mr,coppin,6
coppin,two,6
two,clicks,6
clicks,favourite,9
favourite,programme,7
programme,downloading,10
downloading,effect,11
effect,internet,6
internet,global,8
global,video,6
video,recorder,6
recorder,exact,7
exact,figures,7
figures,difficult,7
difficult,pin,8
pin,thought,7
thought,people,7
people,uk,6
uk,download,8
download,tv,8
tv,programmes,10
programmes,may,9
may,want,3
want,odd,4
odd,episode,5
episode,others,7
others,downloading,10
downloading,regularly,9
regularly,many,7
many,broadcast,8
broadcast,analysts,7
analysts,agree,7
agree,net,4
net,radically,9
radically,altering,8
altering,way,8
way,people,6
people,get,5
get,content,5
content,like,6
like,tv,4
tv,programmes,10
programmes,presents,7
presents,challenge,7
challenge,broadcasters,10
broadcasters,concerned,9
concerned,channel,6
channel,schedules,6
schedules,may,9
may,become,6
become,less,5
less,important,9
important,people,8
people,also,6
also,concern,7
concern,advertisements,12
advertisements,usually,13
usually,cut,6
cut,downloaded,10
downloaded,programmes,9
programmes,industry,10
industry,coined,8
coined,term,6
term,time,3
time,shifting,6
shifting,describe,7
describe,trend,7
trend,able,5
able,watch,4
watch,want,3
want,want,0
want,increased,8
increased,popularity,9
popularity,personal,9
personal,digital,6
digital,video,6
video,recorders,7
recorders,tivo,8
tivo,type,3
type,boxes,4
boxes,automatically,12
automatically,record,12
record,programmes,9
programmes,like,9
like,sky,3
sky,also,4
also,contributed,11
contributed,trend,8
trend,also,5
also,numerous,7
numerous,programs,6
programs,available,8
available,net,9
net,automatically,12
automatically,search,11
search,store,4
store,tv,4
tv,programmes,10
programmes,viewers,9
viewers,effectively,9
effectively,creating,8
creating,personal,7
personal,video,7
video,recorder,6
recorder,computer,6
computer,within,8
within,half,6
half,hour,3
hour,recorded,7
recorded,episodes,6
episodes,uploaded,5
uploaded,posted,4
posted,onto,4
onto,file,4
file,sharing,6
sharing,networks,8
networks,download,8
download,sites,8
sites,tend,4
tend,shorter,6
shorter,full,7
full,length,6
length,films,6
films,processed,8
processed,digitised,6
digitised,quickly,8
quickly,people,6
people,high,6
high,speed,5
speed,broadband,8
broadband,connections,10
connections,uk,11
uk,also,4
also,means,4
means,episodes,7
episodes,downloaded,7
downloaded,quickly,10
quickly,according,9
according,jupiter,9
jupiter,research,8
research,homes,8
homes,broadband,8
broadband,say,8
say,helps,5
helps,pick,5
pick,choose,6
choose,programmes,8
programmes,want,9
want,see,4
see,friends,6
friends,recommended,8
recommended,envisional,10
envisional,reports,9
reports,said,7
said,tv,4
tv,industry,7
industry,consider,7
consider,offering,8
offering,legal,7
legal,way,4
way,download,6
download,shows,7
shows,bbc,5
bbc,ran,3
ran,trial,3
trial,calls,5
calls,interactive,10
interactive,media,9
media,player,6
player,imp,6
imp,last,4
last,year,4
year,based,5
based,peer,4
peer,peer,0
peer,distribution,11
distribution,model,12
model,let,4
let,people,5
people,download,7
download,programmes,9
programmes,held,10
held,rights,6
rights,eight,2
eight,days,5
days,already,6
already,aired,3
aired,looking,7
looking,expansive,8
expansive,trial,8
trial,later,5
later,year,4
year,bbc,4
bbc,already,7
already,allows,5
allows,radio,5
radio,fans,4
fans,hear,4
hear,programmes,9
programmes,missed,9
missed,online,6
online,week,6
week,broadcast,9
broadcast,six,9
six,million,6
million,people,7
people,uk,6
uk,fast,4
fast,always,5
always,net,6
net,connection,7
connection,via,9
via,cable,5
cable,phone,4
phone,lines,4
lines,,5
ibm,puts,4
puts,cash,4
cash,behind,6
behind,linux,5
linux,push,5
push,ibm,4
ibm,spending,7
spending,100m,8
100m,52m,3
52m,next,4
next,three,5
three,years,5
years,beefing,6
beefing,commitment,8
commitment,linux,9
linux,software,8
software,cash,7
cash,injection,8
injection,used,8
used,help,4
help,customers,8
customers,use,6
use,linux,5
linux,every,5
every,type,5
type,device,5
device,handheld,7
handheld,computers,8
computers,phones,7
phones,right,6
right,powerful,8
powerful,servers,7
servers,ibm,7
ibm,said,4
said,money,5
money,fund,4
fund,variety,7
variety,technical,8
technical,research,7
research,marketing,8
marketing,initiatives,9
initiatives,boost,10
boost,linux,5
linux,use,5
use,ibm,3
ibm,said,4
said,taken,4
taken,step,4
step,response,7
response,greater,7
greater,customer,6
customer,demand,8
demand,open,5
open,source,5
source,software,5
software,2004,8
2004,ibm,4
ibm,said,4
said,seen,3
seen,double,6
double,digit,5
digit,growth,5
growth,number,6
number,customers,6
customers,using,7
using,linux,4
linux,help,5
help,staff,5
staff,work,5
work,together,7
together,closely,7
closely,money,4
money,used,4
used,help,4
help,push,4
push,towards,7
towards,greater,6
greater,collaboration,11
collaboration,add,12
add,linux,5
linux,based,5
based,elements,7
elements,ibm,7
ibm,workplace,9
workplace,software,6
software,workplace,6
workplace,suite,8
suite,programs,8
programs,tools,6
tools,allow,5
allow,workers,7
workers,get,6
get,core,4
core,business,7
business,applications,10
applications,matter,10
matter,device,6
device,use,5
use,connect,6
connect,corporate,6
corporate,networks,7
networks,one,7
one,main,4
main,focuses,7
focuses,initiative,10
initiative,make,8
make,easier,4
easier,use,4
use,linux,5
linux,based,5
based,desktop,6
desktop,computers,8
computers,mobile,7
mobile,devices,5
devices,workplace,8
workplace,even,9
even,ibm,4
ibm,announced,9
announced,latest,9
latest,spending,8
spending,boost,8
boost,one,4
one,biggest,6
biggest,advocates,8
advocates,open,7
open,source,5
source,way,6
way,working,6
working,2001,7
2001,put,4
put,300m,4
300m,three,5
three,year,5
year,linux,5
linux,program,7
program,produced,5
produced,linux,7
linux,versions,7
versions,many,7
many,programs,7
programs,linux,8
linux,open,5
open,source,5
source,software,5
software,movement,7
movement,based,7
based,premise,6
premise,developers,8
developers,free,8
free,tinker,5
tinker,core,5
core,components,7
components,software,9
software,programs,7
programs,reason,7
reason,open,5
open,scrutiny,7
scrutiny,software,7
software,produces,8
produces,better,7
better,programs,8
programs,fuels,7
fuels,innovation,10
innovation,,10
xbox,power,5
power,cable,5
cable,fire,4
fire,fear,3
fear,microsoft,8
microsoft,said,8
said,replace,6
replace,14,7
14,million,7
million,power,7
power,cables,5
cables,xbox,5
xbox,consoles,7
consoles,due,7
due,safety,5
safety,concerns,7
concerns,company,5
company,said,6
said,move,4
move,preventative,10
preventative,step,11
step,reports,6
reports,fire,6
fire,hazard,5
hazard,problems,8
problems,cables,4
cables,affects,5
affects,xboxes,6
xboxes,made,5
made,23,4
23,october,7
october,2003,7
2003,regions,7
regions,mainland,7
mainland,europe,8
europe,consoles,6
consoles,region,7
region,made,6
made,13,4
13,january,7
january,2004,7
2004,microsoft,9
microsoft,said,8
said,received,6
received,30,8
30,reports,7
reports,minor,5
minor,injury,4
injury,property,6
property,damage,8
damage,due,4
due,faulty,5
faulty,cables,4
cables,firm,6
firm,said,4
said,fewer,5
fewer,one,4
one,10,3
10,0,2
0,consoles,8
consoles,experienced,10
experienced,component,9
component,failures,8
failures,recall,8
recall,affects,6
affects,almost,5
almost,three,6
three,quarters,6
quarters,xboxes,6
xboxes,sold,5
sold,around,4
around,world,4
world,since,5
since,launch,4
launch,2001,6
2001,statement,9
statement,added,7
added,almost,5
almost,instances,8
instances,damage,7
damage,caused,5
caused,failures,5
failures,contained,8
contained,within,6
within,console,7
console,limited,7
limited,tip,6
tip,power,5
power,cord,4
cord,back,4
back,console,7
console,seven,6
seven,cases,4
cases,customers,5
customers,reported,8
reported,sustaining,10
sustaining,minor,8
minor,burn,5
burn,hand,4
hand,23,4
23,cases,5
cases,customers,5
customers,reported,8
reported,smoke,6
smoke,damage,4
damage,minor,6
minor,damage,6
damage,carpet,5
carpet,entertainment,10
entertainment,centre,9
centre,preventative,8
preventative,step,11
step,re,3
re,choosing,8
choosing,take,8
take,despite,6
despite,rarity,5
rarity,incidents,7
incidents,said,7
said,robbie,5
robbie,bach,5
bach,senior,6
senior,vice,5
vice,president,7
president,microsoft,8
microsoft,home,8
home,entertainment,11
entertainment,division,11
division,regret,8
regret,inconvenience,11
inconvenience,believe,9
believe,offering,7
offering,consumers,8
consumers,free,8
free,replacement,9
replacement,cord,10
cord,responsible,10
responsible,thing,10
thing,consumers,9
consumers,order,6
order,new,4
new,cable,5
cable,xbox,4
xbox,website,6
website,telephoning,9
telephoning,800,11
800,28,3
28,9276,3
9276,uk,4
uk,microsoft,9
microsoft,said,8
said,customers,8
customers,would,8
would,get,5
get,replacement,9
replacement,cords,10
cords,within,6
within,two,5
two,four,4
four,weeks,5
weeks,time,5
time,order,4
order,advised,6
advised,users,6
users,turn,4
turn,xboxes,6
xboxes,use,5
use,follow,6
follow,xbox,5
xbox,expected,7
expected,released,5
released,end,6
end,year,3
year,beginning,8
beginning,2006,9
2006,,4
global,blogger,5
blogger,action,7
action,day,6
day,called,5
called,global,6
global,web,5
web,blog,4
blog,community,9
community,called,8
called,action,6
action,lend,6
lend,support,7
support,two,6
two,imprisoned,9
