Current_Word,Next_Word,Levenshtein_Distance
50,voice,5
voice,commands,7
commands,available,8
available,users,9
users,wear,4
wear,headset,5
headset,incorporates,11
incorporates,microphone,9
microphone,voice,8
voice,recognition,9
recognition,function,6
function,currently,8
currently,available,8
available,english,8
english,opera,7
opera,free,4
free,download,8
download,paid,7
paid,version,6
version,comes,7
comes,without,7
without,ad,7
ad,banner,5
banner,top,6
top,right,5
right,hand,5
hand,corner,5
corner,extra,6
extra,support,6
support,opera,5
opera,began,4
began,life,5
life,research,7
research,project,6
project,spin,7
spin,norwegian,7
norwegian,telecoms,8
telecoms,company,8
company,telenor,7
telenor,browser,6
browser,used,5
used,estimated,6
estimated,10,9
10,million,7
million,people,7
people,variety,7
variety,operating,8
operating,systems,8
systems,number,6
number,different,7
different,platforms,8
platforms,,9
mobile,games,6
games,come,3
come,age,3
age,bbc,3
bbc,news,4
news,website,5
website,takes,7
takes,look,5
look,games,5
games,mobile,6
mobile,phones,6
phones,maturing,8
maturing,brief,6
brief,round,5
round,follows,6
follows,skip,7
skip,straight,6
straight,reviews,7
reviews,clicking,8
clicking,links,5
links,part,5
part,two,4
two,follow,5
follow,monday,5
monday,reviews,7
reviews,call,7
call,duty,4
duty,splinter,7
splinter,cell,7
cell,pandora,7
pandora,tomorrow,7
tomorrow,lord,6
lord,rings,5
rings,pocket,6
pocket,kingdom,7
kingdom,follow,6
follow,monday,5
monday,think,6
think,snake,5
snake,mentions,7
mentions,mobile,6
mobile,games,6
games,could,5
could,bit,5
bit,surprise,7
surprise,mobile,6
mobile,games,6
games,come,3
come,long,3
long,way,4
way,short,5
short,time,5
time,even,4
even,nokia,5
nokia,n,4
n,gage,4
gage,game,1
game,phone,4
phone,launched,6
launched,late,5
late,2003,4
2003,many,4
many,mobile,5
mobile,operators,9
operators,realising,9
realising,audience,8
audience,looking,7
looking,something,5
something,play,9
play,handset,7
handset,given,6
given,many,5
many,people,6
people,handsets,7
handsets,portable,8
portable,game,6
game,playing,6
playing,gadgets,7
gadgets,gameboy,5
gameboy,could,7
could,lucrative,8
lucrative,market,8
market,audience,7
audience,includes,8
includes,commuters,6
commuters,wanting,8
wanting,something,5
something,fill,8
fill,time,3
time,way,4
way,home,4
home,game,2
game,fans,3
fans,looking,6
looking,bit,6
bit,variety,5
variety,hard,5
hard,core,3
core,gamers,5
gamers,like,5
like,play,4
play,every,4
every,moment,5
moment,life,5
life,types,4
types,player,5
player,got,6
got,immeasurably,12
immeasurably,better,10
better,last,5
last,year,4
year,numbers,6
numbers,titles,5
titles,download,7
download,phone,7
phone,snowballed,8
snowballed,sites,8
sites,wireless,5
wireless,gaming,8
gaming,review,5
review,list,5
list,200,4
200,different,9
different,titles,7
titles,uk,6
uk,networks,7
networks,ranges,7
ranges,suit,6
suit,every,5
every,possible,8
possible,taste,6
taste,ports,4
ports,pc,4
pc,arcade,5
arcade,classics,7
classics,space,6
space,invaders,6
invaders,lunar,6
lunar,lander,3
lander,bejewelled,9
bejewelled,also,9
also,versions,6
versions,titles,7
titles,colin,5
colin,mcrae,5
mcrae,rally,5
rally,typically,5
typically,find,8
find,pcs,4
pcs,consoles,7
consoles,shoot,7
shoot,em,5
em,ups,3
ups,adventure,8
adventure,games,8
games,strategy,6
strategy,titles,6
titles,many,6
many,novel,5
novel,games,4
games,found,5
found,handsets,7
handsets,rarely,6
rarely,action,6
action,movie,5
movie,launch,6
launch,without,7
without,mobile,7
mobile,game,5
game,tie,3
tie,increasingly,11
increasingly,launches,10
launches,part,7
part,promotional,9
promotional,campaign,8
campaign,film,7
film,understandable,13
understandable,realise,11
realise,good,7
good,game,3
game,rack,3
rack,millions,8
millions,downloads,7
downloads,returns,8
returns,pretty,5
pretty,good,6
good,consider,6
consider,games,7
games,cost,5
cost,5,4
5,also,4
also,helped,5
helped,games,5
games,mobiles,5
mobiles,thrive,5
thrive,fact,6
fact,easier,5
easier,ever,3
ever,get,3
get,hold,4
hold,thanks,5
thanks,technology,8
technology,known,8
known,wap,5
wap,push,4
push,sending,7
sending,text,6
text,message,6
message,game,5
game,maker,3
maker,title,5
title,downloaded,8
downloaded,handset,8
handset,far,6
far,better,5
better,navigate,7
navigate,menus,8
menus,mobile,5
mobile,operator,8
operator,portals,6
portals,number,7
number,handsets,7
handsets,play,8
play,games,5
games,grown,4
grown,hugely,6
hugely,almost,6
almost,half,5
half,phones,5
phones,java,6
java,onboard,6
onboard,meaning,7
meaning,play,6
play,increasingly,10
increasingly,sophisticated,12
sophisticated,games,11
games,available,8
available,even,8
even,ones,3
ones,use,3
use,3d,3
3d,graphics,8
graphics,minimum,8
minimum,technology,9
technology,specifications,11
specifications,phones,11
phones,adhere,5
adhere,getting,7
getting,sophisticated,11
sophisticated,means,12
means,games,4
games,double,6
double,key,6
key,presses,6
presses,possible,6
possible,making,7
making,familiar,6
familiar,tactics,6
tactics,moving,6
moving,strafing,5
strafing,real,7
real,option,6
option,processing,8
processing,power,7
power,handsets,7
handsets,means,6
means,physics,6
physics,mobile,6
mobile,games,6
games,getting,6
getting,convincing,7
convincing,graphics,9
graphics,improving,8
improving,game,9
game,makers,4
makers,also,5
also,starting,7
starting,take,6
take,advantage,6
advantage,extra,8
extra,capabilities,11
capabilities,mobile,8
mobile,many,5
many,titles,6
titles,particularly,9
particularly,racing,10
racing,games,5
games,let,4
let,upload,5
upload,best,6
best,time,4
time,see,3
see,compare,6
compare,others,5
others,usually,7
usually,get,7
get,hold,4
hold,best,4
best,time,4
time,race,3
race,ghost,5
ghost,shadow,5
shadow,see,5
see,beat,3
beat,games,5
games,also,4
also,let,3
let,take,4
take,people,5
people,real,4
real,time,4
time,via,3
via,network,7
network,sitting,6
sitting,close,7
close,via,5
via,bluetooth,9
bluetooth,short,7
short,range,5
range,radio,3
radio,technology,9
technology,much,8
much,going,5
going,hard,5
hard,justice,7
justice,sheer,6
sheer,diversity,7
diversity,happening,8
happening,two,9
two,features,7
features,help,7
help,point,5
point,direction,8
direction,game,8
game,makers,4
makers,give,5
give,idea,3
idea,look,4
look,get,4
get,playing,7
playing,fast,6
fast,furious,6
furious,digital,6
digital,bridges,7
bridges,soon,7
soon,start,4
start,playing,6
playing,remember,8
remember,never,5
never,play,5
play,driving,7
driving,games,7
games,m,4
m,rubbish,7
rubbish,matter,7
matter,drive,5
drive,car,5
car,via,3
via,joystick,7
joystick,keypad,7
keypad,cannot,6
cannot,get,5
get,hang,4
hang,braking,4
braking,corners,7
corners,timing,7
timing,rush,6
rush,pass,3
pass,drivers,6
drivers,game,6
game,rewards,6
rewards,replay,5
replay,advance,7
advance,complete,7
complete,every,7
every,section,6
section,within,5
within,time,5
time,limit,3
limit,winning,5
winning,gives,6
gives,cash,5
cash,upgrades,7
upgrades,graphically,9
graphically,rolling,9
rolling,road,5
road,convincing,9
convincing,enough,9
enough,evocation,7
evocation,speed,9
speed,palm,4
palm,trees,5
trees,cactus,5
cactus,whip,6
whip,city,4
city,scrolls,6
scrolls,past,7
past,background,9
background,cars,8
cars,handle,5
handle,pretty,6
pretty,well,5
well,despite,6
despite,uselessness,9
uselessness,clear,9
clear,different,8
different,models,8
models,cars,5
cars,appreciably,9
appreciably,different,10
different,track,8
track,niggle,6
niggle,interface,7
interface,bit,8
bit,confusing,8
confusing,especially,10
especially,using,8
using,joystick,6
joystick,rather,7
rather,keypad,6
keypad,play,5
play,fatal,4
fatal,force,4
force,macrospace,7
macrospace,futuristic,8
futuristic,shooter,9
shooter,lets,6
lets,either,5
either,play,6
play,various,7
various,deathmatch,9
deathmatch,modes,9
modes,phone,4
phone,run,4
run,series,5
series,scenarios,4
scenarios,involves,8
involves,killing,7
killing,aliens,5
aliens,invading,6
invading,earth,7
earth,graphics,7
graphics,bit,7
bit,cartoon,6
cartoon,like,7
like,helps,5
helps,make,5
make,clear,5
clear,going,5
going,levels,6
levels,well,4
well,laid,4
laid,encourage,8
encourage,leap,8
leap,exploring,8
exploring,background,8
background,music,10
music,sounds,5
sounds,effects,6
effects,work,7
work,well,3
well,scenarios,8
scenarios,well,8
well,scripted,8
scripted,regularly,9
regularly,get,8
get,hints,4
hints,fatal,5
fatal,force,4
force,commanders,8
commanders,weapons,8
weapons,include,7
include,flamethrowers,12
flamethrowers,rocket,11
rocket,launchers,7
launchers,grenades,6
grenades,couple,7
couple,points,5
points,even,5
even,get,3
get,chance,6
chance,use,5
use,mech,4
mech,short,5
short,right,4
right,power,5
power,go,4
go,matrix,6
matrix,style,5
style,bullet,4
bullet,time,5
time,cope,3
cope,onslaught,9
onslaught,aliens,8
aliens,game,5
game,lets,4
lets,play,4
play,via,3
via,bluetooth,9
bluetooth,others,8
others,range,6
range,online,5
online,game,5
game,quite,4
quite,following,8
following,clans,7
clans,player,4
player,rankings,8
rankings,even,7
even,new,3
new,downloadable,11
downloadable,maps,11
maps,,4
high,definition,9
definition,dvds,9
dvds,first,4
first,humble,6
humble,home,3
home,video,4
video,dvd,4
dvd,hollywood,8
hollywood,preparing,9
preparing,next,8
next,revolution,8
revolution,home,9
home,entertainment,11
entertainment,high,12
high,definition,9
definition,high,9
high,definition,9
definition,gives,9
gives,incredible,9
incredible,3d,9
3d,like,4
like,pictures,6
pictures,surround,8
surround,sound,3
sound,dvd,4
dvd,disks,4
disks,gear,5
gear,play,3
play,another,7
another,year,6
year,still,5
still,number,6
number,issues,5
issues,sorted,5
sorted,high,6
high,definition,9
definition,films,8
films,come,4
come,new,4
new,format,6
format,dvds,6
dvds,profoundly,9
profoundly,change,9
change,home,4
home,entertainment,11
entertainment,rick,11
rick,dean,4
dean,director,6
director,business,8
business,development,10
development,digital,10
digital,content,7
content,company,4
company,thx,7
thx,high,4
high,definition,9
definition,future,8
future,exciting,7
exciting,prospect,8
prospect,worked,6
worked,star,6
star,wars,3
wars,dvd,4
dvd,trilogy,7
trilogy,finding,7
finding,nemo,6
nemo,incredibles,9
incredibles,indiana,7
indiana,jones,7
jones,time,4
time,long,4
long,ago,4
ago,film,4
film,world,4
world,video,5
video,world,5
world,two,4
two,completely,9
completely,separate,8
separate,worlds,7
worlds,told,3
told,bbc,4
bbc,news,4
news,website,5
website,technology,9
technology,dealing,8
dealing,means,4
means,much,4
much,conjoined,9
conjoined,film,8
film,see,4
see,theatres,6
theatres,coming,8
coming,digital,6
digital,file,6
file,take,3
take,home,3
home,video,4
video,master,5
master,says,5
says,currently,9
currently,putting,7
putting,master,6
master,feature,5
feature,film,6
film,onto,4
onto,dvd,4
dvd,requires,8
requires,severe,5
severe,compression,9
compression,current,8
current,dvd,7
dvd,technology,10
technology,cannot,7
cannot,hold,6
hold,much,4
much,high,3
high,definition,9
definition,films,8
films,demand,6
demand,much,5
much,compress,7
compress,picture,7
picture,data,6
data,rate,2
rate,wise,3
wise,also,3
also,take,4
take,qualities,7
qualities,away,8
away,picture,7
picture,fight,6
fight,hard,5
hard,keep,4
keep,master,5
master,explains,8
explains,would,7
would,love,4
love,able,3
able,show,4
show,people,5
people,projects,6
projects,worked,7
worked,really,6
really,look,6
look,like,3
like,high,3
high,def,4
def,world,5
world,find,4
find,exciting,6
exciting,high,7
high,definition,9
definition,dvds,9
dvds,hold,4
hold,six,4
six,times,4
times,data,5
data,dvds,3
dvds,used,4
used,take,4
take,time,2
time,though,5
though,persuade,7
persuade,people,5
people,spent,5
spent,money,5
money,dvd,5
dvd,players,7
players,buy,6
buy,different,9
different,players,7
players,displays,5
displays,required,8
required,watch,8
watch,high,4
high,definition,9
definition,dvds,9
dvds,18,4
18,months,6
months,time,6
time,mr,3
mr,dean,4
dean,confident,7
confident,though,9
though,think,4
think,see,5
see,real,3
real,hd,4
hd,high,3
high,definition,9
definition,heavily,8
heavily,compressed,10
compressed,version,8
version,remarkable,8
remarkable,difference,9
difference,heard,9
heard,comments,7
comments,people,7
people,say,6
say,images,5
images,pop,6
pop,screen,6
screen,high,6
high,definition,9
definition,mean,8
mean,changes,5
changes,working,7
working,behind,5
behind,scenes,6
scenes,whole,5
whole,producing,8
producing,films,9
films,high,4
high,definition,9
definition,dvds,9
dvds,easier,6
easier,ways,5
ways,less,3
less,compression,8
compression,needed,10
needed,equally,7
equally,may,5
may,mean,2
mean,hollywood,9
hollywood,studios,8
studios,ask,7
ask,put,3
put,onto,3
onto,average,7
average,dvd,6
dvd,master,6
master,movies,4
movies,right,6
right,data,5
data,rates,3
rates,running,6
running,1,7
1,2,1
2,gigabits,8
gigabits,per,8
per,second,5
second,says,5
says,mr,4
mr,dean,4
dean,dvds,3
dvds,put,4
put,today,5
today,squashed,7
squashed,five,7
five,six,3
six,megabits,7
megabits,per,7
per,second,5
second,huge,6
huge,amount,5
amount,compression,10
compression,applied,9
applied,98,7
98,anything,8
anything,allows,7
allows,space,6
space,compress,7
compress,hard,7
hard,studios,6
studios,could,6
could,fit,5
fit,lot,2
lot,marketing,8
marketing,material,5
material,games,6
games,features,5
features,onto,7
onto,high,4
high,capacity,7
capacity,dvds,8
dvds,currently,9
currently,entire,7
entire,dvd,6
dvd,project,7
project,take,6
take,three,3
three,months,6
months,says,5
says,mr,4
mr,dean,4
dean,although,8
although,step,7
step,converting,9
converting,bypassed,10
bypassed,realistically,12
realistically,save,11
save,day,3
day,work,4
work,says,4
says,mr,4
mr,dean,4
dean,one,4
one,time,3
time,consuming,8
consuming,elements,8
elements,building,8
building,dvd,7
dvd,navigation,9
navigation,menu,10
menu,systems,6
systems,fairly,7
fairly,complex,6
complex,star,7
star,wars,3
wars,disks,4
disks,making,6
making,sure,6
sure,menu,4
menu,buttons,6
buttons,worked,7
worked,took,4
took,45,4
45,human,5
human,hours,4
hours,alone,5
alone,studios,7
studios,want,7
want,cash,3
cash,extra,5
extra,space,5
space,could,5
could,mean,5
mean,extra,5
extra,human,5
human,hours,4
hours,someone,6
someone,pay,7
pay,decision,8
decision,studio,6
studio,side,4
side,going,4
going,put,5
put,lot,2
lot,disks,5
disks,could,5
could,expensive,9
expensive,extra,7
extra,navigation,9
navigation,required,10
required,studios,7
studios,focus,6
focus,delivering,10
delivering,added,9
added,value,4
value,content,6
content,thinks,7
thinks,mr,6
mr,dean,4
dean,ultimately,9
ultimately,could,9
could,mean,5
mean,want,3
want,money,4
money,costs,4
costs,could,3
could,filter,6
filter,price,5
price,ticket,4
ticket,high,5
high,definition,9
definition,dvd,9
dvd,consumer,8
consumer,willing,8
willing,pay,7
pay,premium,6
premium,price,4
price,studios,6
studios,listen,7
listen,thinks,6
thinks,mr,6
mr,dean,4
dean,high,4
high,definition,9
definition,throws,10
throws,challenge,8
challenge,film,8
film,makers,6
makers,dvd,6
dvd,production,9
production,alike,9
alike,clarity,5
clarity,screen,6
screen,means,5
means,film,5
film,makers,6
makers,make,2
make,doubly,6
doubly,sure,5
sure,attention,8
attention,detail,7
detail,meticulous,7
meticulous,first,9
first,hd,5
hd,version,7
version,star,6
star,wars,3
wars,episode,6
episode,everybody,6
everybody,sun,9
sun,tanned,5
tanned,make,4
make,hd,4
hd,version,7
version,episode,6
episode,make,6
make,lines,4
lines,showed,5
showed,explains,8
explains,mr,8
mr,dean,4
dean,restoration,8
restoration,older,10
older,star,4
star,wars,3
wars,episodes,7
episodes,revealed,7
revealed,interesting,9
interesting,items,7
items,scans,4
scans,corridor,8
corridor,death,8
death,star,4
star,fairly,5
fairly,plainly,3
plainly,one,6
one,shots,4
shots,file,5
file,cabinet,5
cabinet,stuck,7
stuck,behind,6
behind,one,5
one,doorways,7
doorways,never,8
never,used,4
used,able,4
able,see,3
